data_rate,rep,service_type,slo_set,p_fitness,dist,cores,data_quality,model_size
0.85,24,elastic-workbench-cv-analyzer,HIGH_PERF,0.5316181070066467,"(np.float64(27.59851827979237), np.float64(0.8204904967930471))",8.0,128.00000000000009,1.0
0.85,24,elastic-workbench-pc-visualizer,HIGH_PERF,0.9492604179375306,"(np.float64(519.3178885673783), np.float64(12.18827130995054))",1.0000000000000029,6.032441656170426,-1.0
0.85,25,elastic-workbench-qr-detector,HIGH_PERF,0.6577253310477224,"(np.float64(2095.1798746926615), np.float64(85.98938899512642))",5.921742999504561,100.00000000000041,-1.0
0.85,25,elastic-workbench-cv-analyzer,HIGH_PERF,0.5316181070066467,"(np.float64(27.59851827979237), np.float64(0.8204904967930471))",8.0,128.00000000000009,1.0
0.85,25,elastic-workbench-pc-visualizer,HIGH_PERF,0.9492604179375306,"(np.float64(519.3178885673783), np.float64(12.18827130995054))",1.0000000000000029,6.032441656170426,-1.0
0.85,1,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,1,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,1,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,2,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,2,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,2,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,3,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,3,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,3,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,4,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,4,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,4,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,5,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,5,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,5,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,6,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,6,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,6,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,7,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,7,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
0.85,7,elastic-workbench-pc-visualizer,LOW_COST,0.9239982969781627,"(np.float64(187.34518036840072), np.float64(7.4168197039692805))",1.0000000000000053,53.91814538875707,-1.0
0.85,8,elastic-workbench-qr-detector,LOW_COST,0.8809186803941137,"(np.float64(47.821464344992535), np.float64(28.462478015901702))",1.1792846691790808,618.708525521442,-1.0
0.85,8,elastic-workbench-cv-analyzer,LOW_COST,0.7937869364633473,"(np.float64(2.0012753419215925), np.float64(0.6086641348803081))",1.8983332388684857,149.91513846763328,1.7730511731525378
